Synced TS,Perpendicular_A,Parallel_A,Tangential_A,TotalSquared_A,Perpendicular_B,Parallel_B,Tangential_B,TotalSquared_B,MotionMotif,xmin,xmax
1908938.9163,-0.04357795200491387,-0.022540751791073572,0.011521628172294678,0.0025398713079899777,0.11023962725087247,0.23182373645420495,-0.08999237667354362,0.07399364805935293,Mixed,1908938.9163,1908969.5137582275
1908969.5137582275,-0.04357795200491387,-0.022540751791073572,0.011521628172294678,0.0025398713079899777,0.09457999762126507,0.22881384522021694,-0.09410368400212923,0.07015665505727249,Mixed,1908969.5137582275,1908972.9502
1908972.9502,-0.039008537952157876,-0.053102088879205915,0.006535693101251152,0.004384213160813768,0.09457999762126507,0.22881384522021694,-0.09410368400212923,0.07015665505727249,Mixed,1908972.9502,1909002.5127582275
1909002.5127582275,-0.039008537952157876,-0.053102088879205915,0.006535693101251152,0.004384213160813768,0.08522295602686862,0.23832436418516756,-0.09354351045073425,0.07281184314566859,Mixed,1909002.5127582275,1909005.8639
1909005.8639,-0.032211941580976323,-0.07081707129522923,0.00126384848710177,0.00605426408024816,0.08522295602686862,0.23832436418516756,-0.09354351045073425,0.07281184314566859,Mixed,1909005.8639,1909036.0729582275
1909036.0729582275,-0.032211941580976323,-0.07081707129522923,0.00126384848710177,0.00605426408024816,0.0712711880752483,0.23124801520738059,-0.07767739334028972,0.06458900422315243,Mixed,1909036.0729582275,1909038.8626
1909038.8626,-0.027007186593206486,-0.06433046879061047,-0.001400920803708395,0.004869759921598242,0.0712711880752483,0.23124801520738059,-0.07767739334028972,0.06458900422315243,Mixed,1909038.8626,1909069.2534582275
1909069.2534582275,-0.027007186593206486,-0.06433046879061047,-0.001400920803708395,0.004869759921598242,0.06377999718713438,0.23717925648880325,-0.06089174573438145,0.06402969244835295,Mixed,1909069.2534582275,1909072.8723
1909072.8723,-0.028447065096725,-0.03622337493777834,-0.001064663397866315,0.0021225019126509337,0.06377999718713438,0.23717925648880325,-0.06089174573438145,0.06402969244835295,Mixed,1909072.8723,1909101.8420582274
1909101.8420582274,-0.028447065096725,-0.03622337493777834,-0.001064663397866315,0.0021225019126509337,0.055231059346761896,0.2322195218173409,-0.04406553413165957,0.05891814752794845,Mixed,1909101.8420582274,1909106.5342
1909106.5342,-0.0302808046769742,-0.00470463328698472,3.386289845028218e-4,9.391753758392127e-4,0.055231059346761896,0.2322195218173409,-0.04406553413165957,0.05891814752794845,Mixed,1909106.5342,1909136.2069582276
1909136.2069582276,-0.0302808046769742,-0.00470463328698472,3.386289845028218e-4,9.391753758392127e-4,0.051408788765831506,0.23795172083627128,-0.03374950043984336,0.06040291379125165,Mixed,1909136.2069582276,1909168.9124582275
1909168.9124582275,-0.0302808046769742,-0.00470463328698472,3.386289845028218e-4,9.391753758392127e-4,0.04748707039225829,0.23042937079628228,-0.030400541340137543,0.05627690969378325,Mixed,1909168.9124582275,1909172.9264
1909172.9264,-0.02743883332123725,-8.112619609326735e-4,4.259839550900292e-4,7.537291823298902e-4,0.04748707039225829,0.23042937079628228,-0.030400541340137543,0.05627690969378325,Mixed,1909172.9264,1909202.5264582275
1909202.5264582275,-0.02743883332123725,-8.112619609326735e-4,4.259839550900292e-4,7.537291823298902e-4,0.050396233456547423,0.2296952903417171,-0.02606883802799881,0.05597929106790258,Mixed,1909202.5264582275,1909206.7448
